City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,vyaz'ma,55.2104,34.2951,20.18,73,0,3.01,RU,1724859438
301,santiago de cao,-7.9589,-79.2392,17.07,88,100,3.6,PE,1724859439
302,qinzhou,21.95,108.6167,28.71,80,100,2.34,CN,1724859440
303,orsa,54.5153,30.4053,23.11,67,18,4.19,BY,1724859441
304,selfoss,63.9331,-20.9971,11.14,68,100,3.46,IS,1724859443
305,turinskaya sloboda,57.6232,64.3858,18.48,91,99,3.12,RU,1724859444
306,bandon,51.7469,-8.7425,18.77,58,22,7.24,IE,1724859445
307,dashitou,43.3067,128.5114,15.39,94,63,1.35,CN,1724859446
308,roccella ionica,38.322,16.4009,23.32,62,60,3.03,IT,1724859447
309,zaozersk,69.4005,32.4476,13.61,63,100,2.94,RU,1724859448
310,roma,43.2128,-75.4557,24.08,73,75,3.6,US,1724859400
311,santa marta de ortigueira,43.6833,-7.85,21.25,100,100,0.45,ES,1724859451
312,kuching,1.55,110.3333,24.99,98,40,0.0,MY,1724859452
313,koulamoutou,-1.1303,12.4736,35.67,27,80,1.32,GA,1724859453
314,rabak,13.1809,32.74,29.36,59,50,2.9,SD,1724859454
315,mili,6.0815,171.735,28.8,71,84,4.59,MH,1724859455
316,sampit,-2.5333,112.95,23.28,97,100,0.68,ID,1724859456
317,tralee,52.2704,-9.7026,18.14,63,20,7.2,IE,1724859423
318,dryden,49.7833,-92.7503,17.16,59,0,3.6,CA,1724859460
319,olyokminsk,60.3736,120.4264,8.6,90,100,1.79,RU,1724859461
320,muisne,0.6,-80.0333,25.83,82,94,4.06,EC,1724859382
321,port alfred,-33.5906,26.891,12.88,57,13,5.81,ZA,1724859363
322,tadine,-21.55,167.8833,18.76,79,1,4.16,NC,1724859465
323,lompoc,34.6391,-120.4579,13.4,100,100,1.54,US,1724859404
324,vilyuysk,63.7553,121.6247,4.95,62,23,2.26,RU,1724859467
325,kirensk,57.7853,108.1119,11.75,97,100,1.11,RU,1724859468
326,necochea,-38.5473,-58.7368,14.96,59,62,3.88,AR,1724859470
327,bereeda,11.8704,51.0579,30.05,65,99,0.85,SO,1724859471
328,kirkwood,38.5834,-90.4068,28.7,71,75,5.66,US,1724859293
329,copala,16.65,-98.9833,28.66,65,20,1.04,MX,1724859473
330,luba,3.4568,8.5547,25.75,86,39,3.25,GQ,1724859474
331,dhidhdhoo,6.8833,73.1,28.43,77,100,3.85,MV,1724859475
332,camabatela,-8.1881,15.375,31.79,13,14,0.28,AO,1724859208
333,mount gambier,-37.8333,140.7667,9.78,76,94,4.01,AU,1724859243
334,saint-philippe,-21.3585,55.7679,20.71,76,50,7.41,RE,1724859479
335,zahedan,29.4963,60.8629,32.95,15,0,6.17,IR,1724859480
336,kutum,14.2,24.6667,26.46,59,97,0.97,SD,1724859481
337,bac lieu,9.285,105.7244,26.08,89,100,4.08,VN,1724859482
338,puerto madryn,-42.7692,-65.0385,15.32,34,84,6.51,AR,1724859484
339,fairmont,39.4851,-80.1426,32.33,52,8,0.45,US,1724859225
340,kolobrzeg,54.1757,15.5834,24.56,59,0,4.47,PL,1724859487
341,st. john's,47.5649,-52.7093,24.04,67,75,8.23,CA,1724859438
342,saint-pierre,-21.3393,55.4781,21.82,60,20,4.63,RE,1724859489
343,arkhangel'sk,64.5401,40.5433,16.06,63,0,4.0,RU,1724859402
344,pacific grove,36.6177,-121.9166,13.06,88,0,0.0,US,1724859485
345,renukut,24.2,83.0333,24.61,87,37,1.11,IN,1724859493
346,stettler,52.3168,-112.7186,11.06,97,100,5.52,CA,1724859494
347,vilyuchinsk,52.9306,158.4028,11.15,86,60,4.36,RU,1724859495
348,ubari,26.5921,12.7805,38.58,13,2,5.24,LY,1724859498
349,cananeia,-25.0147,-47.9267,15.84,80,100,2.25,BR,1724859499
350,kaliningrad,54.7065,20.511,24.43,44,2,3.58,RU,1724859457
351,swakopmund,-22.6833,14.5333,16.1,71,9,4.47,NA,1724859501
352,columbia falls,48.3725,-114.1815,9.82,68,100,6.69,US,1724859502
353,remire-montjoly,4.9167,-52.2667,32.02,62,40,2.57,GF,1724859503
354,kingston,17.997,-76.7936,34.53,58,20,2.06,JM,1724859278
